CellSize:7.0,
X,Y,Stars,Label,Col,
1,106,0,Star,-1,
1,107,0,Star,-1,
1,108,0,Star,-1,
2,0,0,Super Nova,-2231822,
2,1,0,Super Nova,-2231822,
2,2,0,Super Nova,-2231822,
2,3,0,Super Nova,-2231822,
2,4,0,Super Nova,-2231822,
2,5,0,Super Nova,-2231822,
2,6,0,Super Nova,-2231822,
2,7,0,Super Nova,-2231822,
2,8,0,Super Nova,-2231822,
2,9,0,Super Nova,-2231822,
2,10,0,Super Nova,-2231822,
2,11,0,Super Nova,-2231822,
2,12,0,Super Nova,-2231822,
2,13,0,Super Nova,-2231822,
2,14,0,Super Nova,-2231822,
2,15,0,Super Giant,-5113968,
2,16,0,Super Giant,-5113968,
2,17,0,Super Giant,-5113968,
2,18,0,Super Giant,-5113968,
2,19,0,Super Giant,-5113968,
2,20,0,Super Giant,-5113968,
2,21,0,Super Giant,-5113968,
2,22,0,Super Giant,-5113968,
2,23,0,Star,-1,
2,24,0,Star,-1,
2,25,0,Star,-1,
2,26,0,Star,-1,
2,27,0,Star,-1,
2,28,0,Star,-1,
2,29,0,Star,-1,
2,30,0,Star,-1,
2,31,0,Star,-1,
2,32,0,Star,-1,
2,33,0,Star,-1,
2,34,0,Star,-1,
2,35,0,Star,-1,
2,36,0,Star,-1,
2,37,0,Star,-1,
2,38,0,Star,-1,
2,39,0,Star,-1,
2,40,0,Star,-1,
2,41,0,Star,-1,
2,42,0,Star,-1,
2,43,0,Star,-1,
2,44,0,Star,-1,
2,45,0,Star,-1,
2,46,0,Star,-1,
2,47,0,Star,-1,
2,48,0,Star,-1,
2,49,0,Star,-1,
2,50,0,Star,-1,
2,51,0,Star,-1,
2,52,0,Star,-1,
2,53,0,Star,-1,
2,54,0,Star,-1,
2,55,0,Star,-1,
2,56,0,Star,-1,
2,57,0,Star,-1,
2,58,0,Star,-1,
2,59,0,Star,-1,
2,60,0,Star,-1,
2,61,0,Star,-1,
2,62,0,Star,-1,
2,63,0,Star,-1,
2,64,0,Star,-1,
2,65,0,Dwarf,-278061,
2,66,0,Dwarf,-278061,
2,67,0,Dwarf,-278061,
2,68,0,Dwarf,-278061,
2,69,0,Dwarf,-278061,
2,70,0,Dwarf,-278061,
2,71,0,Dwarf,-278061,
2,72,0,Dwarf,-278061,
2,73,0,Dwarf,-278061,
2,74,0,Dwarf,-278061,
2,75,0,Dwarf,-278061,
2,76,0,Dwarf,-278061,
2,77,0,Dwarf,-278061,
2,78,0,Dwarf,-278061,
2,79,0,Dwarf,-278061,
2,80,0,Dwarf,-278061,
2,81,0,Dwarf,-278061,
2,82,0,Dwarf,-278061,
2,83,0,Dwarf,-278061,
2,84,0,Dwarf,-278061,
2,85,0,Star,-1,
2,86,0,Star,-1,
2,87,0,Star,-1,
2,88,0,Star,-1,
2,89,0,Star,-1,
2,90,0,Star,-1,
2,91,0,Star,-1,
2,92,0,Star,-1,
2,93,0,Star,-1,
2,94,0,Star,-1,
2,95,0,Star,-1,
2,96,0,Star,-1,
2,97,0,Star,-1,
2,98,0,Star,-1,
2,99,0,Star,-1,
2,100,0,Star,-1,
2,101,0,Star,-1,
2,102,0,Star,-1,
2,103,0,Star,-1,
2,104,0,Star,-1,
2,105,0,Star,-1,
2,106,0,Star,-1,
2,107,0,Star,-1,
2,108,0,Star,-1,
3,0,0,Super Nova,-2231822,
3,1,0,Super Nova,-2231822,
3,2,0,Super Nova,-2231822,
3,3,0,Super Nova,-2231822,
3,4,0,Super Nova,-2231822,
3,5,0,Super Nova,-2231822,
3,6,0,Super Nova,-2231822,
3,7,0,Super Nova,-2231822,
3,8,0,Super Nova,-2231822,
3,9,0,Super Nova,-2231822,
3,10,0,Super Nova,-2231822,
3,11,0,Super Nova,-2231822,
3,12,0,Super Nova,-2231822,
3,13,0,Super Nova,-2231822,
3,14,0,Super Nova,-2231822,
3,15,0,Super Giant,-5113968,
3,16,0,Super Giant,-5113968,
3,17,0,Super Giant,-5113968,
3,18,0,Super Giant,-5113968,
3,19,0,Super Giant,-5113968,
3,20,0,Super Giant,-5113968,
3,21,0,Super Giant,-5113968,
3,22,0,Super Giant,-5113968,
3,23,0,Super Giant,-5113968,
3,24,0,Star,-1,
3,25,0,Star,-1,
3,26,0,Star,-1,
3,27,0,Star,-1,
3,28,0,Star,-1,
3,29,0,Star,-1,
3,30,0,Star,-1,
3,31,0,Star,-1,
3,32,0,Star,-1,
3,33,0,Star,-1,
3,34,0,Star,-1,
3,35,0,Star,-1,
3,36,0,Star,-1,
3,37,0,Star,-1,
3,38,0,Star,-1,
3,39,0,Star,-1,
3,40,0,Star,-1,
3,41,0,Star,-1,
3,42,0,Star,-1,
3,43,0,Star,-1,
3,44,0,Star,-1,
3,45,0,Star,-1,
3,46,0,Star,-1,
3,47,0,Star,-1,
3,48,0,Star,-1,
3,49,0,Star,-1,
3,50,0,Star,-1,
3,51,0,Star,-1,
3,52,0,Star,-1,
3,53,0,Star,-1,
3,54,0,Star,-1,
3,55,0,Star,-1,
3,56,0,Star,-1,
3,57,0,Star,-1,
3,58,0,Star,-1,
3,59,0,Star,-1,
3,60,0,Star,-1,
3,61,0,Star,-1,
3,62,0,Star,-1,
3,63,0,Star,-1,
3,64,0,Star,-1,
3,65,0,Dwarf,-278061,
3,66,0,Dwarf,-278061,
3,67,0,Dwarf,-278061,
3,68,0,Dwarf,-278061,
3,69,0,Dwarf,-278061,
3,70,0,Dwarf,-278061,
3,71,0,Dwarf,-278061,
3,72,0,Dwarf,-278061,
3,73,0,Dwarf,-278061,
3,74,0,Dwarf,-278061,
3,75,0,Dwarf,-278061,
3,76,0,Dwarf,-278061,
3,77,0,Dwarf,-278061,
3,78,0,Dwarf,-278061,
3,79,0,Dwarf,-278061,
3,80,0,Dwarf,-278061,
3,81,0,Dwarf,-278061,
3,82,0,Dwarf,-278061,
3,83,0,Dwarf,-278061,
3,84,0,Dwarf,-278061,
3,85,0,Dwarf,-278061,
3,86,0,Dwarf,-278061,
3,87,0,Star,-1,
3,88,0,Star,-1,
3,89,0,Star,-1,
3,90,0,Star,-1,
3,91,0,Star,-1,
3,92,0,Star,-1,
